Index,Filename,URL,Question Count,Question IDs,Firebase Links
1,"q32.mp3","https://drcqcbq3desis.cloudfront.net/audio/q32.mp3",2,"4n89vEaNCbvMPpJNjnLQ; pS1VXyfEIAodiUsRBWxB","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/4n89vEaNCbvMPpJNjnLQ; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/pS1VXyfEIAodiUsRBWxB"
2,"q7.mp3","https://drcqcbq3desis.cloudfront.net/audio/q7.mp3",2,"8Oajr7Bj5CXbWStWaXqx; 94AN0R2PYT01VRBBsg5H","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/8Oajr7Bj5CXbWStWaXqx; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/94AN0R2PYT01VRBBsg5H"
3,"q74.mp3","https://drcqcbq3desis.cloudfront.net/audio/q74.mp3",2,"A3zz3e96P1VrKG37LbLO; HoNeudsNlyJ3gHEtHiDN","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/A3zz3e96P1VrKG37LbLO; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/HoNeudsNlyJ3gHEtHiDN"
4,"q51.mp3","https://drcqcbq3desis.cloudfront.net/audio/q51.mp3",2,"CDYWRyY9mFs106DOkA11; JBOwjd4msRygFifKkUuL","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/CDYWRyY9mFs106DOkA11; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/JBOwjd4msRygFifKkUuL"
5,"q39.mp3","https://drcqcbq3desis.cloudfront.net/audio/q39.mp3",2,"KxE8ZCwoVr0E6mFWAHzB; sbAO4c1YiA1wgzJvhA58","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/KxE8ZCwoVr0E6mFWAHzB; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/sbAO4c1YiA1wgzJvhA58"
6,"q46.mp3","https://drcqcbq3desis.cloudfront.net/audio/q46.mp3",2,"Mm3MWRLAG5WCgcngEXgf; hY5VU635kBT3dKwNMx5m","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/Mm3MWRLAG5WCgcngEXgf; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/hY5VU635kBT3dKwNMx5m"
7,"q17.mp3","https://drcqcbq3desis.cloudfront.net/audio/q17.mp3",2,"MxYQ1hLu9iopCgYbHljY; RAUkCddcZRo4qfB8LTp4","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/MxYQ1hLu9iopCgYbHljY; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/RAUkCddcZRo4qfB8LTp4"
8,"q4.mp3","https://drcqcbq3desis.cloudfront.net/audio/q4.mp3",2,"Nak8jK3gySxexU6E07yH; lQlhIMKW4Bkt72unbBMD","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/Nak8jK3gySxexU6E07yH; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/lQlhIMKW4Bkt72unbBMD"
9,"q11.mp3","https://drcqcbq3desis.cloudfront.net/audio/q11.mp3",2,"ObGedfdBGFCUk7Nnqc6I; j65yk7BbOT7amcCdjDKP","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/ObGedfdBGFCUk7Nnqc6I; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/j65yk7BbOT7amcCdjDKP"
10,"q61.mp3","https://drcqcbq3desis.cloudfront.net/audio/q61.mp3",2,"OgiJBHqww0JDSSiysmMn; nTeYvQ39j51MKn0M7ovN","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/OgiJBHqww0JDSSiysmMn; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/nTeYvQ39j51MKn0M7ovN"
11,"q83.mp3","https://drcqcbq3desis.cloudfront.net/audio/q83.mp3",2,"YIFwsoTqU4v9EtSpKFYm; lniCwJdQfTkQHf6lxmdU","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/YIFwsoTqU4v9EtSpKFYm; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/lniCwJdQfTkQHf6lxmdU"
12,"q35.mp3","https://drcqcbq3desis.cloudfront.net/audio/q35.mp3",2,"eEk5Yx03ojMIEZLBc0cs; k0yjP4DedxqoFHnqq4KJ","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/eEk5Yx03ojMIEZLBc0cs; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/k0yjP4DedxqoFHnqq4KJ"
13,"q12.mp3","https://drcqcbq3desis.cloudfront.net/audio/q12.mp3",2,"hN3SuSDYozLmttpbubLo; yezDsGoI9CdyUfN4s1bT","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/hN3SuSDYozLmttpbubLo; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/yezDsGoI9CdyUfN4s1bT"
14,"q64.mp3","https://drcqcbq3desis.cloudfront.net/audio/q64.mp3",2,"sVt2knmVKv31p659rDhJ; tC4CjRNEFKm1DX28Atgs","https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/sVt2knmVKv31p659rDhJ; https://console.firebase.google.com/project/lamah-357f3/firestore/data/questions/tC4CjRNEFKm1DX28Atgs"
